,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
43,0.7003114700317383,0.006198251593778673,0.023324012756347656,0.00026718190606785954,1.5,,scale,rbf,"{'C': 1.5, 'class_weight': None, 'gamma': 'scale', 'kernel': 'rbf'}",0.32592592592592595,0.3296296296296296,0.37037037037037035,0.34572490706319703,0.31226765799256506,0.3367836981963376,0.01989028861898702,38
31,0.698002815246582,0.006329803993156314,0.02329559326171875,0.00041796155722941913,1,,scale,rbf,"{'C': 1, 'class_weight': None, 'gamma': 'scale', 'kernel': 'rbf'}",0.3111111111111111,0.32222222222222224,0.362962962962963,0.3308550185873606,0.30111524163568776,0.32565331130386893,0.021186942617371782,39
49,0.801983642578125,0.008708349449005762,0.023127174377441405,0.0002516501766415512,5,balanced,scale,rbf,"{'C': 5, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}",0.32222222222222224,0.34444444444444444,0.34074074074074073,0.3159851301115242,0.3048327137546468,0.3256450502547157,0.014963156436097517,40
19,0.7142534732818604,0.00428394692324894,0.023613548278808592,0.00031395541500875494,0.1,,scale,rbf,"{'C': 0.1, 'class_weight': None, 'gamma': 'scale', 'kernel': 'rbf'}",0.3074074074074074,0.3074074074074074,0.337037037037037,0.32342007434944237,0.275092936802974,0.31007297260085365,0.020702749943076627,41
37,0.8162875175476074,0.0011691766691967677,0.02442193031311035,0.001986154235055416,1.5,balanced,scale,rbf,"{'C': 1.5, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}",0.3,0.28888888888888886,0.3148148148148148,0.30855018587360594,0.27137546468401486,0.2967258708522649,0.015374040589706808,42
25,0.8373720645904541,0.012147108744879046,0.023304128646850587,0.00014284465509356242,1,balanced,scale,rbf,"{'C': 1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}",0.2814814814814815,0.24814814814814815,0.3111111111111111,0.3345724907063197,0.25650557620817843,0.2863637615310478,0.032595379658537614,43
20,0.727142333984375,0.005679727646245829,0.024158477783203125,0.00042062337913299026,0.1,,scale,sigmoid,"{'C': 0.1, 'class_weight': None, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.27037037037037037,0.3,0.26666666666666666,0.2527881040892193,0.27137546468401486,0.2722401211620542,0.015390249089338767,44
13,0.9084630012512207,0.004502460062750386,0.023488283157348633,0.00018355982506571117,0.1,balanced,scale,rbf,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'rbf'}",0.21481481481481482,0.2074074074074074,0.22962962962962963,0.30111524163568776,0.25650557620817843,0.24189453393914362,0.03404019899547329,45
68,0.5039438724517822,0.0029200919006466064,0.021947717666625975,0.000744634585769287,10,,scale,sigmoid,"{'C': 10, 'class_weight': None, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.26296296296296295,0.24444444444444444,0.23703703703703705,0.23048327137546468,0.20074349442379183,0.2351342420487402,0.020342533055373042,46
11,0.7171213150024414,0.004787854132045817,0.02528209686279297,0.0004526058179031163,0.01,,auto,sigmoid,"{'C': 0.01, 'class_weight': None, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.23333333333333334,0.23333333333333334,0.23333333333333334,0.2342007434944238,0.2379182156133829,0.23442379182156134,0.0017792159698436193,47
10,0.7616534233093262,0.005021281739293024,0.02345108985900879,6.690061015810851e-05,0.01,,auto,rbf,"{'C': 0.01, 'class_weight': None, 'gamma': 'auto', 'kernel': 'rbf'}",0.23333333333333334,0.23333333333333334,0.23333333333333334,0.2342007434944238,0.2379182156133829,0.23442379182156134,0.0017792159698436193,47
8,0.7514203071594239,0.006780250758662542,0.0249725341796875,4.762302350889793e-05,0.01,,scale,sigmoid,"{'C': 0.01, 'class_weight': None, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.23333333333333334,0.23333333333333334,0.23333333333333334,0.2342007434944238,0.2379182156133829,0.23442379182156134,0.0017792159698436193,47
7,0.7247669219970703,0.003117452669452253,0.024146270751953126,0.0010343708037675195,0.01,,scale,rbf,"{'C': 0.01, 'class_weight': None, 'gamma': 'scale', 'kernel': 'rbf'}",0.23333333333333334,0.23333333333333334,0.23333333333333334,0.2342007434944238,0.2379182156133829,0.23442379182156134,0.0017792159698436193,47
56,0.5238642692565918,0.012454926848816038,0.022371673583984376,0.0007768903785343822,5,,scale,sigmoid,"{'C': 5, 'class_weight': None, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.24074074074074073,0.24814814814814815,0.2222222222222222,0.22676579925650558,0.2342007434944238,0.23441553077240807,0.009336320049914573,51
23,0.7263046264648437,0.005997325088762502,0.025285768508911132,0.0004055571485379931,0.1,,auto,sigmoid,"{'C': 0.1, 'class_weight': None, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.23333333333333334,0.22962962962962963,0.22962962962962963,0.2342007434944238,0.2379182156133829,0.23294231034007984,0.0031126803000908376,52
32,0.6069272518157959,0.014610749197027612,0.02155580520629883,0.0004395311939413566,1,,scale,sigmoid,"{'C': 1, 'class_weight': None, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.24444444444444444,0.23333333333333334,0.21481481481481482,0.21933085501858737,0.241635687732342,0.23071182706870438,0.011807026130981462,53
44,0.5875908374786377,0.014200263878797205,0.021556663513183593,0.0004821812474524203,1.5,,scale,sigmoid,"{'C': 1.5, 'class_weight': None, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.24444444444444444,0.23333333333333334,0.21481481481481482,0.21933085501858737,0.241635687732342,0.23071182706870438,0.011807026130981462,53
38,0.6684675693511963,0.018754416812964747,0.02297372817993164,0.0006851656251560426,1.5,balanced,scale,sigmoid,"{'C': 1.5, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.22962962962962963,0.1925925925925926,0.21481481481481482,0.20074349442379183,0.25650557620817843,0.21885722153380147,0.022661519283524393,55
62,0.5768360137939453,0.010836309198077761,0.02185931205749512,0.0011671857901307705,10,balanced,scale,sigmoid,"{'C': 10, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.22592592592592592,0.23333333333333334,0.22592592592592592,0.1970260223048327,0.1524163568773234,0.20692551287346825,0.0299621507061794,56
50,0.6098323822021484,0.01304288279033979,0.02261524200439453,0.001153851176147521,5,balanced,scale,sigmoid,"{'C': 5, 'class_weight': 'balanced', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.2111111111111111,0.22592592592592592,0.22592592592592592,0.20817843866171004,0.1524163568773234,0.20471155170039929,0.027158278351171582,57
35,0.7226932525634766,0.006484910123753381,0.025421714782714842,0.0008253807772788026,1,,auto,sigmoid,"{'C': 1, 'class_weight': None, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.16666666666666666,0.22962962962962963,0.12962962962962962,0.2342007434944238,0.2379182156133829,0.1996089770067465,0.043698358150235664,58
5,0.978759479522705,0.003938993584832883,0.0253751277923584,0.00023660508916051708,0.01,balanced,auto,sigmoid,"{'C': 0.01, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'sigmoid'}",0.23333333333333334,0.23333333333333334,0.23333333333333334,0.05947955390334572,0.2379182156133829,0.1994795539033457,0.07002251903372433,59
4,0.9916578769683838,0.003583208384915695,0.02364497184753418,0.00024167066854617158,0.01,balanced,auto,rbf,"{'C': 0.01, 'class_weight': 'balanced', 'gamma': 'auto', 'kernel': 'rbf'}",0.23333333333333334,0.23333333333333334,0.23333333333333334,0.05947955390334572,0.2379182156133829,0.1994795539033457,0.07002251903372433,59
