,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
698,0.11616063117980957,0.00293240723618478,0.010218429565429687,0.00036966984519882763,,gini,28,50,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 28, 'n_estimators': 50}",0.9222222222222223,0.9,0.9074074074074074,0.9033457249070632,0.8884758364312267,0.9042902381935839,0.010960532353114024,1
711,0.22611737251281738,0.0050733363853414145,0.01908245086669922,0.000752323539648988,,gini,31,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 31, 'n_estimators': 100}",0.9185185185185185,0.9111111111111111,0.9,0.9107806691449815,0.8773234200743495,0.9035467437697922,0.014380163182240627,2
783,0.22327055931091308,0.006716394745539223,0.018525981903076173,0.0003630329361440353,,gini,49,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 49, 'n_estimators': 100}",0.9148148148148149,0.9111111111111111,0.9,0.9033457249070632,0.8847583643122676,0.9028060030290513,0.010460101306553275,3
731,0.2241450786590576,0.005807519409239885,0.01813993453979492,0.00014586265509192135,,gini,36,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 36, 'n_estimators': 100}",0.9148148148148149,0.9111111111111111,0.9,0.9033457249070632,0.8847583643122676,0.9028060030290513,0.010460101306553275,3
735,0.22600860595703126,0.003305337718582249,0.018744850158691408,0.0011711631272175757,,gini,37,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 37, 'n_estimators': 100}",0.9148148148148149,0.9111111111111111,0.9,0.9033457249070632,0.8847583643122676,0.9028060030290513,0.010460101306553275,3
739,0.22099967002868653,0.004214313331217516,0.018129444122314452,0.00012346442065340292,,gini,38,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 38, 'n_estimators': 100}",0.9148148148148149,0.9111111111111111,0.9,0.9033457249070632,0.8847583643122676,0.9028060030290513,0.010460101306553275,3
743,0.2229621410369873,0.005823776938853387,0.020627212524414063,0.0035606516174885813,,gini,39,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 39, 'n_estimators': 100}",0.9148148148148149,0.9111111111111111,0.9,0.9033457249070632,0.8847583643122676,0.9028060030290513,0.010460101306553275,3
747,0.2209163188934326,0.002764674392503386,0.021316099166870116,0.0030980600447413358,,gini,40,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 40, 'n_estimators': 100}",0.9148148148148149,0.9111111111111111,0.9,0.9033457249070632,0.8847583643122676,0.9028060030290513,0.010460101306553275,3
751,0.22603874206542968,0.003928024806100767,0.018537092208862304,0.0002787753888931375,,gini,41,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 41, 'n_estimators': 100}",0.9148148148148149,0.9111111111111111,0.9,0.9033457249070632,0.8847583643122676,0.9028060030290513,0.010460101306553275,3
755,0.22934083938598632,0.003866484767779151,0.018629693984985353,0.0003628868183135961,,gini,42,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 42, 'n_estimators': 100}",0.9148148148148149,0.9111111111111111,0.9,0.9033457249070632,0.8847583643122676,0.9028060030290513,0.010460101306553275,3
759,0.22472381591796875,0.005441236111321103,0.019175910949707033,0.000906154424512261,,gini,43,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 43, 'n_estimators': 100}",0.9148148148148149,0.9111111111111111,0.9,0.9033457249070632,0.8847583643122676,0.9028060030290513,0.010460101306553275,3
702,0.11358017921447754,0.002018830834666301,0.009962224960327148,0.0002067264023696,,gini,29,50,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 29, 'n_estimators': 50}",0.9185185185185185,0.8962962962962963,0.9111111111111111,0.9033457249070632,0.8847583643122676,0.9028060030290513,0.011698228993869733,3
779,0.22574491500854493,0.005402173109310177,0.01871180534362793,0.00018826826924453382,,gini,48,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 48, 'n_estimators': 100}",0.9148148148148149,0.9111111111111111,0.9,0.9033457249070632,0.8847583643122676,0.9028060030290513,0.010460101306553275,3
763,0.22531399726867676,0.005568499645153436,0.01853337287902832,0.0004299450196710669,,gini,44,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 44, 'n_estimators': 100}",0.9148148148148149,0.9111111111111111,0.9,0.9033457249070632,0.8847583643122676,0.9028060030290513,0.010460101306553275,3
767,0.22152385711669922,0.0019604611768953874,0.01987795829772949,0.0025111373270408402,,gini,45,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 45, 'n_estimators': 100}",0.9148148148148149,0.9111111111111111,0.9,0.9033457249070632,0.8847583643122676,0.9028060030290513,0.010460101306553275,3
771,0.221604061126709,0.004286388009261411,0.01831541061401367,0.0003989548239877286,,gini,46,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 46, 'n_estimators': 100}",0.9148148148148149,0.9111111111111111,0.9,0.9033457249070632,0.8847583643122676,0.9028060030290513,0.010460101306553275,3
775,0.226859712600708,0.005921163564789106,0.018480443954467775,0.00025548931376708644,,gini,47,100,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 47, 'n_estimators': 100}",0.9148148148148149,0.9111111111111111,0.9,0.9033457249070632,0.8847583643122676,0.9028060030290513,0.010460101306553275,3
