,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
69,0.004485607147216797,8.937867034713884e-05,0.001401996612548828,4.1568496351821155e-05,balanced,gini,21,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 21}",0.8888888888888888,0.8592592592592593,0.9037037037037037,0.8847583643122676,0.8327137546468402,0.873864794162192,0.025065847356882748,1
73,0.004477500915527344,0.00013508275746091012,0.0014069557189941406,3.5473736261071245e-05,balanced,gini,25,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 25}",0.8888888888888888,0.8740740740740741,0.9037037037037037,0.8736059479553904,0.828996282527881,0.8738537794299877,0.025017503768682597,2
70,0.004471540451049805,0.00011333928761603814,0.0013714313507080078,7.344530669971525e-06,balanced,gini,22,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 22}",0.8851851851851852,0.8629629629629629,0.9037037037037037,0.8810408921933085,0.828996282527881,0.8723778053146083,0.025262564157673167,3
97,0.004511547088623047,8.154478667140124e-05,0.001393890380859375,6.023655663418705e-05,balanced,gini,49,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 49}",0.8888888888888888,0.8666666666666667,0.9037037037037037,0.8736059479553904,0.828996282527881,0.872372297948506,0.025179394739837782,4
71,0.004546451568603516,0.00010455978825141772,0.001398468017578125,2.6047969017624598e-05,balanced,gini,23,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 23}",0.8888888888888888,0.8666666666666667,0.9037037037037037,0.8736059479553904,0.828996282527881,0.872372297948506,0.025179394739837782,4
75,0.004489231109619141,7.814187025111799e-05,0.001378774642944336,1.4206226603972385e-05,balanced,gini,27,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 27}",0.8888888888888888,0.8666666666666667,0.9037037037037037,0.8736059479553904,0.828996282527881,0.872372297948506,0.025179394739837782,4
76,0.004526185989379883,6.357464382537489e-05,0.0013893604278564452,4.011631890481272e-05,balanced,gini,28,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 28}",0.8888888888888888,0.8666666666666667,0.9037037037037037,0.8736059479553904,0.828996282527881,0.872372297948506,0.025179394739837782,4
77,0.004505538940429687,0.0001234676434339964,0.0014357566833496094,0.00011542089414742799,balanced,gini,29,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 29}",0.8888888888888888,0.8666666666666667,0.9037037037037037,0.8736059479553904,0.828996282527881,0.872372297948506,0.025179394739837782,4
78,0.004533815383911133,7.998286318338777e-05,0.0014068126678466798,4.630125636888313e-05,balanced,gini,30,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 30}",0.8888888888888888,0.8666666666666667,0.9037037037037037,0.8736059479553904,0.828996282527881,0.872372297948506,0.025179394739837782,4
79,0.0045226097106933595,0.00013018478814594593,0.001399993896484375,3.1042062375564185e-05,balanced,gini,31,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 31}",0.8888888888888888,0.8666666666666667,0.9037037037037037,0.8736059479553904,0.828996282527881,0.872372297948506,0.025179394739837782,4
80,0.004490566253662109,0.00011048857165726096,0.0013779163360595702,5.108170219742615e-06,balanced,gini,32,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 32}",0.8888888888888888,0.8666666666666667,0.9037037037037037,0.8736059479553904,0.828996282527881,0.872372297948506,0.025179394739837782,4
81,0.00459742546081543,0.0001265173980283054,0.0013934135437011718,2.5318032523530378e-05,balanced,gini,33,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 33}",0.8888888888888888,0.8666666666666667,0.9037037037037037,0.8736059479553904,0.828996282527881,0.872372297948506,0.025179394739837782,4
82,0.004506158828735352,7.885139345593201e-05,0.0013808727264404297,1.9653212394477297e-05,balanced,gini,34,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 34}",0.8888888888888888,0.8666666666666667,0.9037037037037037,0.8736059479553904,0.828996282527881,0.872372297948506,0.025179394739837782,4
83,0.0045834541320800785,9.70071964345543e-05,0.0013763427734375,7.032984384734599e-06,balanced,gini,35,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 35}",0.8888888888888888,0.8666666666666667,0.9037037037037037,0.8736059479553904,0.828996282527881,0.872372297948506,0.025179394739837782,4
84,0.00448298454284668,9.130902436863748e-05,0.00141143798828125,6.255023996907939e-05,balanced,gini,36,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 36}",0.8888888888888888,0.8666666666666667,0.9037037037037037,0.8736059479553904,0.828996282527881,0.872372297948506,0.025179394739837782,4
85,0.004511260986328125,0.0001412750774169032,0.0014425754547119141,0.00011119650320547907,balanced,gini,37,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 37}",0.8888888888888888,0.8666666666666667,0.9037037037037037,0.8736059479553904,0.828996282527881,0.872372297948506,0.025179394739837782,4
86,0.004526090621948242,0.0001425646934965826,0.001398324966430664,3.766409910100499e-05,balanced,gini,38,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 38}",0.8888888888888888,0.8666666666666667,0.9037037037037037,0.8736059479553904,0.828996282527881,0.872372297948506,0.025179394739837782,4
87,0.0044878959655761715,7.52254407729469e-05,0.001379537582397461,6.609657933634888e-06,balanced,gini,39,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 39}",0.8888888888888888,0.8666666666666667,0.9037037037037037,0.8736059479553904,0.828996282527881,0.872372297948506,0.025179394739837782,4
88,0.004582834243774414,8.121817695544336e-05,0.001397991180419922,3.976536015542276e-05,balanced,gini,40,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 40}",0.8888888888888888,0.8666666666666667,0.9037037037037037,0.8736059479553904,0.828996282527881,0.872372297948506,0.025179394739837782,4
89,0.004473733901977539,0.00013395351340320582,0.001382923126220703,4.026539004118168e-05,balanced,gini,41,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 41}",0.8888888888888888,0.8666666666666667,0.9037037037037037,0.8736059479553904,0.828996282527881,0.872372297948506,0.025179394739837782,4
90,0.004500627517700195,6.436153592062983e-05,0.0013878345489501953,2.6221274896022685e-05,balanced,gini,42,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 42}",0.8888888888888888,0.8666666666666667,0.9037037037037037,0.8736059479553904,0.828996282527881,0.872372297948506,0.025179394739837782,4
91,0.0044710636138916016,9.626632492333482e-05,0.0014191150665283203,8.264750384034466e-05,balanced,gini,43,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 43}",0.8888888888888888,0.8666666666666667,0.9037037037037037,0.8736059479553904,0.828996282527881,0.872372297948506,0.025179394739837782,4
92,0.004512262344360351,0.00011847656128854983,0.0013995647430419921,4.114483027176145e-05,balanced,gini,44,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 44}",0.8888888888888888,0.8666666666666667,0.9037037037037037,0.8736059479553904,0.828996282527881,0.872372297948506,0.025179394739837782,4
